project_name,project_id,year,project_type_name,dept_name,dept_sub_name,purchase_method_name,purchase_method_group_name,announce_date,project_money,price_build,sum_price_agree,budget_year,transaction_date,province,district,subdistrict,project_status,project_location,winner_tin,winner_name,contract_no,contract_date,contract_finish_date,contract_price_agree,contract_status
เช่าเครื่องคอมพิวเตอร์และอุปกรณ์คอมพิวเตอร์ จำนวน 3 รายการ โดยวิธีเฉพาะเจาะจง,61037498316.0,2561,เช่า,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,485352,485352.0,485352.0,2561,2 เม.ย. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,105557050212.0,บริษัท เอ็นทีพี จำกัด,1043180124,2 เม.ย. 61,1 มิ.ย. 61,"485,352",ระหว่างดำเนินการ
เช่าเช่าพื้นที่สำหรับดำเนินการจัดตั้งศูนย์พิสูจน์สัญชาติแรงงานกัมพูชาจังหวัดปทุมธานี โดยวิธีเฉพาะเจาะจง,61037271823.0,2561,เช่า,กรมการจัดหางาน,สำนักงานจัดหางานจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,431520,431520.0,431520.0,2561,28 มี.ค. 61,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,สิ้นสุดสัญญา,,107553000093.0,บริษัท เซียร์ พร็อพเพอร์ตี้ จำกัด (มหาชน),16/2561,28 มี.ค. 61,26 ก.ค. 61,"431,520",สิ้นสุดสัญญา
เช่าเต็นท์ทรงโค้งสีขาว จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,60117243817.0,2561,เช่า,สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว (องค์การมหาชน),สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติฯ (องค์การมหาชน),เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,409061,409061.0,409061.0,2561,23 พ.ย. 60,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,125553012839.0,บริษัท เต็นท์เณรศิริ จำกัด,08/2561,23 พ.ย. 60,8 ธ.ค. 60,"409,061",สิ้นสุดสัญญา
เช่าเช่าเครื่องถ่ายเอกสาร จำนวน 2 เครื่อง โดยวิธีเฉพาะเจาะจง,60107034867.0,2561,เช่า,สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว (องค์การมหาชน),สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติฯ (องค์การมหาชน),เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,200000,200000.0,400000.0,2561,18 ต.ค. 60,ปทุมธานี,คลองหลวง,คลองหนึ่ง,ระหว่างดำเนินการ,,105521009891.0,บริษัท ฟูจิฟิล์ม บิสซิเนส อินโนเวชั่น (ประเทศไทย) จำกัด,01/2561,18 ต.ค. 60,30 ก.ย. 60,"200,000",ระหว่างดำเนินการ
เช่าเต็นท์โดมขนาด 10x20 จำนวน 6 หลัง  เต็นท์ขนาด 5x12 เมตร จำนวน 46 หลัง โดยวิธีเฉพาะเจาะจง,60107178255.0,2561,เช่า,องค์การบริหารส่วนตำบลคลองห้า,องค์การบริหารส่วนตำบลคลองห้า,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,182000,182000.0,364000.0,2561,24 ต.ค. 60,ปทุมธานี,คลองหลวง,คลองห้า,ระหว่างดำเนินการ,,313020055xxxx,นายลั่นทม  ปึกขาว,17/2561,24 ต.ค. 60,26 ต.ค. 60,"182,000",ระหว่างดำเนินการ
เช่าเครื่องถ่ายเอกสารจำนวน 1 เครื่อง,60107101629.0,2561,เช่า,สำนักงานปลัดกระทรวงพาณิชย์,สำนักงานพาณิชย์จังหวัด ปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,180000,180000.0,360000.0,2561,1 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,สิ้นสุดสัญญา,,105521009891.0,บริษัท ฟูจิฟิล์ม บิสซิเนส อินโนเวชั่น (ประเทศไทย) จำกัด,1/2561,1 ต.ค. 60,28 ก.ย. 61,"180,000",สิ้นสุดสัญญา
เช่าเต็นท์ โครงสร้างใหญ่ ทรงโค้ง ขนาด 20x50 เมตร สีขาว (เสาสูง 3.50 เมตร) พร้อมพัดลมธรรมดา จำนวน 21 ตัว ตามโครงการจัดกิจกรรมรัฐพิธี และโครงการต่างๆ ตามนโยบายของรัฐ โดยวิธีเฉพาะเจาะจง โดยวิธีเฉพาะเจาะจง,60107135923.0,2561,เช่า,เทศบาลตำบลเชียงรากใหญ่,เทศบาลตำบลเชียงรากใหญ่,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,155150,155150.0,310300.0,2561,20 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,105548007971.0,บริษัท แสงทองผ้าใบ จำกัด,สนป 03/2561,20 ต.ค. 60,26 ต.ค. 60,"155,150",ระหว่างดำเนินการ
เช่าเต็นท์ทรงโค้งสีขาว จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,61047022804.0,2561,เช่า,สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว (องค์การมหาชน),สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติฯ (องค์การมหาชน),เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,289435,289435.0,289435.0,2561,29 มี.ค. 61,ปทุมธานี,คลองหลวง,คลองหนึ่ง,สิ้นสุดสัญญา,,125553012839.0,บริษัท เต็นท์เณรศิริ จำกัด,41/2561,29 มี.ค. 61,14 เม.ย. 61,"289,435",สิ้นสุดสัญญา
เช่าเครื่องถ่ายเอกสาร ประจำปีงบประมาณ พ.ศ.2561 จำนวน 5 เครื่อง โดยวิธีเฉพาะเจาะจง,60107011123.0,2561,เช่า,องค์การบริหารส่วนตำบลหน้าไม้,องค์การบริหารส่วนตำบลหน้าไม้,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,144000,144000.0,288000.0,2561,2 ต.ค. 60,ปทุมธานี,เมืองปทุมธานี,บางปรอก,ระหว่างดำเนินการ,,123546000225.0,ห้างหุ้นส่วนจำกัด เอส.เอ็ม.อี. เซอร์วิส ซัพพลาย,2/2561,2 ต.ค. 60,29 ก.ย. 61,"144,000",ระหว่างดำเนินการ
เช่าเช่าอาคารสมาคมชาวจังหวัดเลย โดยวิธีเฉพาะเจาะจง,60107010586.0,2561,เช่า,สำนักเลขาธิการนายกรัฐมนตรี,สำนักงานสภาเกษตรกรจังหวัดปทุมธานี,เฉพาะเจาะจง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,-,264000,264000.0,264000.0,2561,25 ต.ค. 60,ปทุมธานี,สามโคก,บ้านปทุม,สิ้นสุดสัญญา,,994000006101.0,สมาคมชาวจังหวัดเลย,1/2561,25 ต.ค. 60,28 ต.ค. 60,"264,000",สิ้นสุดสัญญา
